what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1291559294326
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1291559294370
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1291559294384
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1291559294384
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1291559294389
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1291559294389
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1291559294395
os,sysinfo,,,"win32",1291559294444
arch,sysinfo,,,"x86",1291559294444
ws,sysinfo,,,"win32",1291559294444
locale,sysinfo,,,"en_US",1291559294444
processors,sysinfo,,,"2",1291559294446
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1291559294446
java.runtime.version,sysinfo,,,"1.6.0_07-b06",1291559294446
java.specification.name,sysinfo,,,"Java Platform API Specification",1291559294446
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291559294446
java.specification.version,sysinfo,,,"1.6",1291559294446
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1291559294447
java.version,sysinfo,,,"1.6.0_07",1291559294447
java.vm.info,sysinfo,,,"mixed mode",1291559294447
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1291559294447
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291559294447
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291559294447
java.vm.specification.version,sysinfo,,,"1.0",1291559294447
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1291559294447
java.vm.version,sysinfo,,,"10.0-b23",1291559294447
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1291559294628
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1291559294688
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1291559294717
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1291559294776
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1291559295468
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1291559295478
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1291559295568
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1291559295654
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1291559295981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559398181
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559404779
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559424392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559429787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559457580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559459697
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559510385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559514481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559519089
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291559520103
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1291559522743
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1291559522750
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1291559522758
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1291559522765
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1291559522772
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1291559522781
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1291559522787
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1291559522794
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1291559522806
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1291559522812
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1291559522820
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1291559522846
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1291559522852
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1291559522859
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1291559522975
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1291559522988
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291559523039
